AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2016-17,29,5.9,5.6,5.5,5.5,10,"2,755",0,"2,765","50,125",> 100%
National,,All,2016-17,30,5.9,5.5,5.8,5.8,3,"2,853",0,"2,856","49,361",> 100%
National,,All,2016-17,31,5.8,5.5,5.4,5.4,4,"2,695",0,"2,699","50,085",> 100%
National,,All,2016-17,32,5.8,5.4,5.4,5.4,6,"2,722",0,"2,728","50,234",> 100%
National,,All,2016-17,33,5.8,5.4,5.4,5.4,11,"2,689",0,"2,700","50,185",> 100%
National,,All,2016-17,34,5.8,5.4,5.6,5.6,7,"2,756",0,"2,763","49,516",> 100%
National,,All,2016-17,35,5.8,5.4,5.4,5.4,7,"2,716",0,"2,723","50,830",> 100%
National,,All,2016-17,36,5.8,5.5,5.6,5.6,12,"2,825",0,"2,837","50,977",> 100%
National,,All,2016-17,37,5.8,5.5,5.9,5.9,7,"3,021",0,"3,028","51,692",> 100%
National,,All,2016-17,38,5.9,5.6,5.8,5.8,16,"2,935",0,"2,951","51,229",> 100%
National,,All,2016-17,39,5.9,5.6,5.7,5.7,19,"2,888",0,"2,907","51,341",> 100%
National,,All,2015-16,40,6.5,6.1,6.3,6.3,14,"3,197",0,"3,211","50,950",> 100%
National,,All,2015-16,41,6.6,6.2,6.3,6.3,7,"3,131",0,"3,138","49,830",> 100%
National,,All,2015-16,42,6.7,6.3,6.4,6.4,16,"3,214",0,"3,230","50,667",> 100%
National,,All,2015-16,43,6.8,6.4,6.3,6.3,17,"3,163",0,"3,180","50,384",> 100%
National,,All,2015-16,44,6.9,6.5,6.6,6.6,20,"3,353",0,"3,373","51,158",> 100%
National,,All,2015-16,45,7,6.7,6.4,6.4,14,"3,225",0,"3,239","50,668",> 100%
National,,All,2015-16,46,7.1,6.8,6.5,6.5,13,"3,336",0,"3,349","51,387",> 100%
National,,All,2015-16,47,7.3,6.9,6.5,6.5,14,"3,324",0,"3,338","51,196",> 100%
National,,All,2015-16,48,7.4,7,6.7,6.7,22,"3,457",0,"3,479","51,996",> 100%
National,,All,2015-16,49,7.5,7.1,6.6,6.6,20,"3,528",0,"3,548","53,556",> 100%
National,,All,2015-16,50,7.6,7.2,6.7,6.7,26,"3,452",0,"3,478","51,842",> 100%
National,,All,2015-16,51,7.7,7.3,6.7,6.7,15,"3,510",0,"3,525","52,761",> 100%
National,,All,2015-16,52,7.8,7.4,7.5,7.5,31,"3,917",0,"3,948","52,490",> 100%
National,,All,2015-16,1,7.9,7.5,7.7,7.7,32,"4,241",0,"4,273","55,788",> 100%
National,,All,2015-16,2,7.9,7.6,7.8,7.8,30,"4,278",0,"4,308","55,525",> 100%
National,,All,2015-16,3,8,7.7,7.4,7.4,36,"4,043",0,"4,079","55,182",> 100%
National,,All,2015-16,4,8.1,7.7,7.5,7.5,50,"4,110",0,"4,160","55,606",> 100%
National,,All,2015-16,5,8.1,7.7,7.5,7.5,61,"4,064",0,"4,125","54,896",> 100%
National,,All,2015-16,6,8.1,7.8,7.3,7.3,93,"3,935",0,"4,028","55,106",> 100%
National,,All,2015-16,7,8.1,7.8,7.5,7.5,148,"4,011",0,"4,159","55,785",> 100%
National,,All,2015-16,8,8.1,7.7,8,8,187,"4,197",0,"4,384","54,873",> 100%
National,,All,2015-16,9,8.1,7.7,8.1,8.1,257,"4,243",0,"4,500","55,875",> 100%
National,,All,2015-16,10,8,7.7,8.1,8.1,294,"4,277",0,"4,571","56,112",> 100%
National,,All,2015-16,11,8,7.6,8.3,8.3,351,"4,143",0,"4,494","54,462",> 100%
National,,All,2015-16,12,7.9,7.6,8.2,8.2,295,"4,176",0,"4,471","54,662",> 100%
National,,All,2015-16,13,7.8,7.5,7.7,7.7,282,"3,893",0,"4,175","53,880",> 100%
National,,All,2015-16,14,7.7,7.4,7.8,7.8,250,"3,945",0,"4,195","54,066",> 100%
National,,All,2015-16,15,7.6,7.3,7.6,7.6,196,"3,891",0,"4,087","53,490",> 100%
National,,All,2015-16,16,7.5,7.2,7.2,7.2,148,"3,684",0,"3,832","53,149",> 100%
National,,All,2015-16,17,7.4,7.1,6.9,6.9,127,"3,398",0,"3,525","51,027",> 100%
National,,All,2015-16,18,7.3,6.9,6.8,6.8,91,"3,403",0,"3,494","51,270",> 100%
National,,All,2015-16,19,7.2,6.8,6.5,6.5,74,"3,240",0,"3,314","51,000",> 100%
National,,All,2015-16,20,7,6.7,6.6,6.6,34,"3,290",0,"3,324","50,469",> 100%
National,,All,2015-16,21,6.9,6.6,6.4,6.4,30,"3,199",0,"3,229","50,490",> 100%
National,,All,2015-16,22,6.8,6.4,6.1,6.1,17,"3,025",0,"3,042","49,711",> 100%
National,,All,2015-16,23,6.7,6.3,6.4,6.4,17,"3,175",0,"3,192","49,917",> 100%
National,,All,2015-16,24,6.5,6.2,5.9,5.9,18,"2,920",0,"2,938","49,910",> 100%
National,,All,2015-16,25,6.4,6.1,5.8,5.8,12,"2,876",0,"2,888","49,623",> 100%
National,,All,2015-16,26,6.3,6,5.9,5.9,10,"2,914",0,"2,924","49,746",> 100%
National,,All,2015-16,27,6.2,5.9,5.9,5.9,10,"2,914",0,"2,924","49,698",> 100%
National,,All,2015-16,28,6.2,5.8,5.9,5.9,6,"2,926",0,"2,932","49,637",> 100%
National,,All,2015-16,29,6.1,5.7,5.6,5.6,5,"2,767",0,"2,772","49,275",> 100%
National,,All,2015-16,30,6,5.7,5.7,5.7,5,"2,804",0,"2,809","49,698",> 100%
National,,All,2015-16,31,6,5.6,5.8,5.8,2,"2,846",0,"2,848","49,505",> 100%
National,,All,2015-16,32,6,5.6,5.7,5.7,2,"2,827",0,"2,829","49,740",> 100%
National,,All,2015-16,33,5.9,5.6,5.8,5.8,5,"2,867",0,"2,872","49,809",> 100%
National,,All,2015-16,34,5.9,5.6,5.7,5.7,6,"2,827",0,"2,833","49,509",> 100%
National,,All,2015-16,35,6,5.6,5.8,5.8,5,"2,869",0,"2,874","49,576",> 100%
National,,All,2015-16,36,6,5.6,5.8,5.8,5,"2,881",0,"2,886","50,075",> 100%
National,,All,2015-16,37,6,5.7,6.2,6.2,8,"3,093",0,"3,101","49,915",> 100%
National,,All,2015-16,38,6.1,5.7,6.1,6.1,9,"3,017",0,"3,026","49,876",> 100%
National,,All,2015-16,39,6.1,5.8,6,6,11,"2,986",0,"2,997","50,254",> 100%
National,,All,2014-15,40,6.7,6.2,6.4,6.4,6,"3,068",0,"3,074","48,313",> 100%
National,,All,2014-15,41,6.8,6.3,6.4,6.4,8,"3,139",0,"3,147","49,305",> 100%
National,,All,2014-15,42,6.9,6.4,6.3,6.3,13,"3,082",0,"3,095","49,195",> 100%
National,,All,2014-15,43,7,6.6,6.5,6.5,11,"3,196",0,"3,207","49,009",> 100%
National,,All,2014-15,44,7.1,6.7,6.5,6.5,17,"3,148",0,"3,165","48,865",> 100%
National,,All,2014-15,45,7.2,6.8,6.3,6.3,11,"3,195",0,"3,206","50,845",> 100%
National,,All,2014-15,46,7.4,6.9,6.5,6.5,18,"3,233",0,"3,251","50,352",> 100%
National,,All,2014-15,47,7.5,7.1,6.5,6.5,31,"3,379",0,"3,410","52,449",> 100%
National,,All,2014-15,48,7.6,7.2,6.7,6.7,46,"3,412",0,"3,458","51,753",> 100%
National,,All,2014-15,49,7.8,7.3,7,7,83,"3,619",0,"3,702","52,714",> 100%
National,,All,2014-15,50,7.9,7.5,7.4,7.4,169,"3,785",0,"3,954","53,541",> 100%
National,,All,2014-15,51,8,7.6,8.1,8.1,312,"4,098",0,"4,410","54,611",> 100%
National,,All,2014-15,52,8.1,7.7,8.5,8.5,512,"4,264",0,"4,776","56,014",> 100%
National,,All,2014-15,53,8.2,7.8,10.2,10.2,"1,014","5,034",0,"6,048","59,340",> 100%
National,,All,2014-15,1,8.3,7.9,10.8,10.8,"1,099","5,576",0,"6,675","61,737",> 100%
National,,All,2014-15,2,8.4,8,10.7,10.7,981,"5,589",0,"6,570","61,141",> 100%
National,,All,2014-15,3,8.5,8.1,10.1,10.1,710,"5,183",0,"5,893","58,628",> 100%
National,,All,2014-15,4,8.5,8.1,9.5,9.5,585,"4,856",0,"5,441","57,269",> 100%
National,,All,2014-15,5,8.5,8.1,9.1,9.1,482,"4,733",0,"5,215","57,284",> 100%
National,,All,2014-15,6,8.6,8.2,8.8,8.8,405,"4,569",0,"4,974","56,420",> 100%
National,,All,2014-15,7,8.6,8.2,8.4,8.4,282,"4,478",0,"4,760","56,348",> 100%
National,,All,2014-15,8,8.6,8.1,8.5,8.5,221,"4,498",0,"4,719","55,668",> 100%
National,,All,2014-15,9,8.5,8.1,8.4,8.4,189,"4,494",0,"4,683","55,732",> 100%
National,,All,2014-15,10,8.5,8.1,8.3,8.3,156,"4,418",0,"4,574","55,272",> 100%
National,,All,2014-15,11,8.4,8,8,8,139,"4,179",0,"4,318","54,262",> 100%
National,,All,2014-15,12,8.3,7.9,7.5,7.5,121,"3,887",0,"4,008","53,238",> 100%
National,,All,2014-15,13,8.2,7.8,7.4,7.4,99,"3,825",0,"3,924","53,009",> 100%
National,,All,2014-15,14,8.1,7.7,7.5,7.5,100,"3,827",0,"3,927","52,696",> 100%
National,,All,2014-15,15,8,7.6,7.6,7.6,75,"3,920",0,"3,995","52,844",> 100%
National,,All,2014-15,16,7.9,7.5,7.5,7.5,63,"3,805",0,"3,868","51,608",> 100%
National,,All,2014-15,17,7.8,7.4,7.2,7.2,50,"3,652",0,"3,702","51,466",> 100%
National,,All,2014-15,18,7.6,7.2,6.9,6.9,28,"3,550",0,"3,578","51,659",> 100%
National,,All,2014-15,19,7.5,7.1,6.9,6.9,22,"3,474",0,"3,496","50,672",> 100%
National,,All,2014-15,20,7.3,6.9,6.6,6.6,14,"3,235",0,"3,249","49,327",> 100%
National,,All,2014-15,21,7.2,6.8,6.8,6.8,18,"3,364",0,"3,382","49,718",> 100%
National,,All,2014-15,22,7.1,6.7,6.5,6.5,10,"3,189",0,"3,199","49,041",> 100%
National,,All,2014-15,23,6.9,6.5,6.5,6.5,11,"3,211",0,"3,222","49,751",> 100%
National,,All,2014-15,24,6.8,6.4,6.4,6.4,6,"3,150",0,"3,156","49,109",> 100%
National,,All,2014-15,25,6.7,6.3,6.5,6.5,4,"3,197",0,"3,201","49,057",> 100%
National,,All,2014-15,26,6.6,6.2,6.3,6.3,6,"3,111",0,"3,117","49,218",> 100%
National,,All,2014-15,27,6.5,6.1,6.3,6.3,7,"3,081",0,"3,088","48,917",> 100%
National,,All,2014-15,28,6.4,6,6.2,6.2,7,"3,030",0,"3,037","49,227",> 100%
National,,All,2014-15,29,6.3,5.9,6.2,6.2,3,"3,003",0,"3,006","48,548",> 100%
National,,All,2014-15,30,6.2,5.8,6,6,4,"2,892",0,"2,896","48,258",> 100%
National,,All,2014-15,31,6.2,5.8,6.1,6.1,4,"2,920",0,"2,924","47,732",> 100%
National,,All,2014-15,32,6.2,5.8,5.9,5.9,8,"2,834",0,"2,842","47,977",> 100%
National,,All,2014-15,33,6.1,5.7,6.1,6.1,6,"2,935",0,"2,941","48,438",> 100%
National,,All,2014-15,34,6.2,5.8,6,6,5,"2,903",0,"2,908","48,496",> 100%
National,,All,2014-15,35,6.2,5.8,6,6,3,"2,938",0,"2,941","48,723",> 100%
National,,All,2014-15,36,6.2,5.8,6,6,3,"2,946",0,"2,949","48,762",> 100%
National,,All,2014-15,37,6.3,5.9,6.2,6.2,6,"3,001",0,"3,007","48,857",> 100%
National,,All,2014-15,38,6.3,5.9,6.2,6.2,8,"3,047",0,"3,055","49,228",> 100%
National,,All,2014-15,39,6.4,6,6.3,6.3,6,"3,057",0,"3,063","48,805",> 100%
National,,All,2013-14,40,6.8,6.4,6.6,6.6,3,"3,140",0,"3,143","47,492",99.8%
National,,All,2013-14,41,6.9,6.5,6.7,6.7,12,"3,135",0,"3,147","47,304",99.4%
National,,All,2013-14,42,7,6.6,6.8,6.8,11,"3,216",0,"3,227","47,602",> 100%
National,,All,2013-14,43,7.1,6.7,6.6,6.6,11,"3,151",0,"3,162","47,746",> 100%
National,,All,2013-14,44,7.2,6.8,6.7,6.7,12,"3,271",0,"3,283","48,777",> 100%
National,,All,2013-14,45,7.3,6.9,7,7,17,"3,429",0,"3,446","48,939",> 100%
National,,All,2013-14,46,7.4,7,6.7,6.7,15,"3,320",0,"3,335","49,409",> 100%
National,,All,2013-14,47,7.5,7.1,7,7,28,"3,430",0,"3,458","49,591",> 100%
National,,All,2013-14,48,7.7,7.3,6.9,6.9,33,"3,385",0,"3,418","49,288",> 100%
National,,All,2013-14,49,7.8,7.4,7.2,7.2,42,"3,594",0,"3,636","50,812",> 100%
National,,All,2013-14,50,7.9,7.5,7.6,7.6,68,"3,856",0,"3,924","51,848",> 100%
National,,All,2013-14,51,8,7.6,7.7,7.7,107,"3,917",0,"4,024","52,548",> 100%
National,,All,2013-14,52,8.1,7.7,8,8,207,"3,942",0,"4,149","51,954",> 100%
National,,All,2013-14,1,8.2,7.8,9.1,9.1,350,"4,490",0,"4,840","53,277",> 100%
National,,All,2013-14,2,8.3,7.9,9.8,9.8,459,"4,987",0,"5,446","55,620",> 100%
National,,All,2013-14,3,8.4,7.9,10,10,474,"5,004",0,"5,478","54,580",> 100%
National,,All,2013-14,4,8.4,8,9.7,9.7,442,"4,783",0,"5,225","54,085",> 100%
National,,All,2013-14,5,8.4,8,9.3,9.3,385,"4,623",0,"5,008","53,955",> 100%
National,,All,2013-14,6,8.5,8.1,9,9,315,"4,475",0,"4,790","53,397",> 100%
National,,All,2013-14,7,8.5,8.1,8.7,8.7,271,"4,385",0,"4,656","53,815",> 100%
National,,All,2013-14,8,8.5,8.1,8,8,209,"3,989",0,"4,198","52,642",> 100%
National,,All,2013-14,9,8.5,8.1,7.8,7.8,161,"3,868",0,"4,029","51,674",> 100%
National,,All,2013-14,10,8.4,8,8,8,125,"4,048",0,"4,173","52,058",> 100%
National,,All,2013-14,11,8.4,8,7.8,7.8,93,"3,941",0,"4,034","51,782",> 100%
National,,All,2013-14,12,8.3,7.9,7.6,7.6,74,"3,833",0,"3,907","51,385",> 100%
National,,All,2013-14,13,8.3,7.9,7.6,7.6,65,"3,795",0,"3,860","50,858",> 100%
National,,All,2013-14,14,8.2,7.8,7.6,7.6,55,"3,808",0,"3,863","50,749",> 100%
National,,All,2013-14,15,8.1,7.7,7.5,7.5,72,"3,717",0,"3,789","50,532",> 100%
National,,All,2013-14,16,8,7.6,7.3,7.3,53,"3,577",0,"3,630","49,736",> 100%
National,,All,2013-14,17,7.9,7.5,7.1,7.1,54,"3,476",0,"3,530","49,747",> 100%
National,,All,2013-14,18,7.7,7.3,7.1,7.1,53,"3,483",0,"3,536","49,590",> 100%
National,,All,2013-14,19,7.6,7.2,7.1,7.1,39,"3,512",0,"3,551","50,321",> 100%
National,,All,2013-14,20,7.5,7.1,6.8,6.8,27,"3,222",0,"3,249","47,931",> 100%
National,,All,2013-14,21,7.4,7,6.7,6.7,24,"3,242",0,"3,266","48,598",> 100%
National,,All,2013-14,22,7.2,6.8,6.6,6.6,15,"3,140",0,"3,155","48,163",> 100%
National,,All,2013-14,23,7.1,6.7,6.8,6.8,20,"3,218",0,"3,238","47,750",> 100%
National,,All,2013-14,24,7,6.6,6.8,6.8,15,"3,214",0,"3,229","47,715",> 100%
National,,All,2013-14,25,6.9,6.5,6.5,6.5,7,"3,070",0,"3,077","47,540",99.9%
National,,All,2013-14,26,6.8,6.4,6.3,6.3,3,"2,989",0,"2,992","47,341",99.5%
National,,All,2013-14,27,6.7,6.3,6.3,6.3,6,"2,989",0,"2,995","47,240",99.3%
National,,All,2013-14,28,6.6,6.2,6.3,6.3,4,"2,982",0,"2,986","47,292",99.4%
National,,All,2013-14,29,6.5,6.1,6.3,6.3,7,"2,939",0,"2,946","47,098",99%
National,,All,2013-14,30,6.5,6.1,6.3,6.3,3,"2,983",0,"2,986","47,122",99%
National,,All,2013-14,31,6.4,6,6.2,6.2,5,"2,919",0,"2,924","46,936",98.6%
National,,All,2013-14,32,6.4,6,6,6,1,"2,826",0,"2,827","46,885",98.5%
National,,All,2013-14,33,6.4,6,6.2,6.2,5,"2,864",0,"2,869","46,646",98%
National,,All,2013-14,34,6.4,6,6.2,6.2,6,"2,867",0,"2,873","46,630",98%
National,,All,2013-14,35,6.4,6,6.1,6.1,5,"2,812",0,"2,817","46,391",97.5%
National,,All,2013-14,36,6.4,6,6.3,6.3,1,"2,959",0,"2,960","47,264",99.3%
National,,All,2013-14,37,6.4,6,6.1,6.1,4,"2,871",0,"2,875","46,777",98.3%
National,,All,2013-14,38,6.5,6.1,6.2,6.2,6,"2,981",0,"2,987","47,911",> 100%
National,,All,2013-14,39,6.6,6.2,6.2,6.2,6,"3,013",0,"3,019","48,369",> 100%
